Date,Personal Finance Current,Personal Finance Expected,Business Condition 12 Months,Business Condition 5 Years,Buying Conditions,Current Index,Expected Index,CPI,GSCPI,WTI,총대출금,무담보콜금리(1일),국고채(1년),국고채(10년),"회사채(3년, AA-)","회사채(3년, BBB-)",주택담보대출-예금취급기관,원/미국달러(매매기준율) 평균,원/미국달러(매매기준율) 말일,"M1(평잔, 원계열)","M1(말잔, 원계열)","M1(평잔, 계절조정계열)","M1(말잔, 계절조정계열)",금리 스프레드,무담보콜금리 차분,국고채1년 차분,국고채10년 차분,주택담보대출금리 차분,a_htpi,a_atpi,a_rpi,KOSPI,경제활동인구,경제활동참가율,실업률,경제활동참가율d,실업률d,전산업생산지수,경기종합지수(동행지수순환변동치),제조업평균가동률,산업별생산지수,산업별출하지수,산업별재고지수,소매판매액지수,소비자동향조사,경제심리지수,소비자물가지수,기대인플레이션율,관리물가지수,생산자물가지수,공급물가지수,수입물가지수,수입물량지수,수입금액지수,순상품교역조건지수,소득교역조건지수
2005/01,123,133,114,97,165,110.9,85.7,191.6,-0.1,48.20000076,"568,933.90",3.26,3.48,4.42,4.11,8.54,,"1,038.23","1,026.40","321,944.60","318,003.60","316,874.30","322,800.50",0.94,,,,,59.3,54.6,,932.7,23671,62.4,3.8,-1,0.5,64.6,99.2,82.3,61.412,67.51,51.205,49.6,78,95.4,73.594,3.2,86.97322458,83.26,80.44,83.28,56.95,50.33,151.56,56.9
2005/02,121,127,114,98,162,109.2,84.4,192.4,-0.13,51.75,"570,979.80",3.26,3.48,4.88,4.63,9.05,,"1,022.43","1,008.10","329,012.50","330,997.80","323,160.30","334,427.30",1.4,0,0,0.46,0.08,59.5,54.9,,"1,011.36",23660,62.3,3.6,-0.1,0,60,98.9,78.7,52.852,59.564,49.953,48.5,78,108.8,73.892,3.3,86.88970168,83.42,80.52,83.23,51.5,47.77,149.97,49.03
2005/03,117,130,104,98,163,108,82.8,193.1,-0.27,55.40000153,"571,698.40",3.25,3.82,4.77,4.48,8.74,,"1,007.49","1,024.30","334,697.10","327,684.20","330,967.20","334,382.80",0.95,-0.01,0.34,-0.11,-0.05,59.7,55.2,,965.68,23733,62.5,3.7,1.1,-0.2,68.8,99.1,80.8,64.286,71.518,49.754,52.3,78,111.4,74.338,3,87.54705028,83.5,80.92,84.54,62.37,58.91,147.7,59.79
2005/04,113,121,96,91,158,104.4,77,193.7,-1.3,49.72000122,"577,621.10",3.26,3.71,4.69,4.28,8.36,,"1,010.94","1,002.50","334,317.90","334,049.00","332,699.60","334,291.30",0.98,0.01,-0.11,-0.08,-0.16,60,55.6,,911.3,23681,62.3,3.7,0.6,-0.3,67.2,98.8,78.8,62.036,68.962,50.304,51.4,79,111,74.413,2.9,87.16731732,83.73,81.41,85.6,56.6,55.07,143.41,53.92
2005/05,109,121,95,85,163,104.9,75.3,193.6,-0.96,56.5,"583,455.70",3.29,3.6,4.42,4.12,8.11,,"1,002.21","1,002.50","331,442.50","329,906.10","334,153.30","333,197.30",0.82,0.03,-0.11,-0.27,-0.17,60.3,56.1,,970.21,23696,62.3,3.7,0.5,-0.2,68.1,98.7,76.6,62.287,68.41,51.205,52.3,79,104.2,74.338,3.3,87.35885028,83.19,80.44,83.69,55.6,54.65,140.31,53.89
2005/06,122,129,109,103,172,113.2,85,193.7,-0.92,60.56999969,"586,738.70",3.27,3.66,4.46,4.18,8.15,,"1,010.87","1,024.40","337,217.30","340,407.30","338,511.10","345,037.80",0.8,-0.02,0.06,0.04,-0.02,60.8,56.7,,"1,008.16",23704,62.2,3.8,0,0,68.8,98.6,77.6,61.662,68.824,49.303,51,79,102.3,74.114,3.5,87.36601899,82.81,80.27,84.92,56.06,54.46,139.09,56.48
2005/07,122,133,112,99,172,113.5,85.5,194.9,-0.86,68.94000244,"593,173.30",3.25,3.77,4.89,4.52,8.49,,"1,037.44","1,028.30","346,659.40","347,375.20","347,219.30","341,141.90",1.12,-0.02,0.11,0.43,0.05,61.2,57.3,,"1,111.29",23672,62.1,3.8,-0.2,0.1,67.6,98.5,77.5,61.412,67.373,50.454,50.7,76,99.3,74.413,3.3,87.64937989,83.32,81.25,87.18,56.31,54.95,137.84,55.63
2005/08,117,121,102,85,164,108.2,76.9,196.1,-0.48,66.23999786,"597,123.00",3.25,3.88,5.08,4.75,8.74,,"1,021.17","1,031.00","346,984.80","340,764.30","352,559.20","340,903.50",1.2,0,0.11,0.19,0.08,61.5,57.6,,"1,083.33",23632,61.9,3.7,-1,-0.1,66.3,98.5,78,59.226,66.129,49.053,49.5,76,103.8,74.636,3.2,87.71369609,83.55,81.65,88.01,57.73,56.4,137.4,54.88
2005/09,103,115,62,76,151,98.1,63.3,198.8,0.08,59.75999832,"600,881.60",3.25,4.19,5.15,4.92,8.86,,"1,029.33","1,038.00","347,135.30","342,819.20","349,958.60","341,871.50",0.96,0,0.31,0.07,0.1,61.6,57.7,,"1,221.01",23754,62.2,4,0.6,0,69,98.4,78.6,60.85,67.304,49.354,53.4,76,107.1,75.008,2.9,87.66920112,83.92,82.3,89.31,58.81,58.79,134.82,56.62
2005/10,96,112,68,72,139,91.2,63.2,199.1,-0.1,57.31999969,"606,538.90",3.44,4.44,5.36,5.2,9.01,,"1,046.25","1,042.70","339,969.40","332,920.20","344,615.20","331,317.70",0.92,0.19,0.25,0.21,0.25,61.6,57.8,,"1,158.11",23804,62.2,3.9,0.3,0,69.9,98.5,80.4,66.035,72.555,49.354,54.3,82,105.5,74.859,3.1,87.67814413,84.14,82.39,88.81,58.1,58.55,133.78,57.69
2005/11,103,115,83,80,157,100.2,69.6,198.1,-0.64,61.04000092,"612,255.50",3.49,4.57,5.68,5.5,9.26,,"1,041.43","1,036.30","307,025.10","308,413.80","310,005.70","305,606.90",1.11,0.05,0.13,0.32,-0.02,61.6,57.8,,"1,297.44",23804,62.2,3.6,-0.3,-0.3,72.4,99,83.1,69.096,75.596,49.854,55.8,82,109.8,74.561,3.1,87.96795642,83.9,81.49,86.83,61.52,60.82,134.86,61.25
2005/12,119,129,104,88,164,109.1,80.2,198.1,-0.7,61.40999985,"613,922.80",3.7,4.67,5.6,5.49,9.21,,"1,024.15","1,013.00","318,419.20","332,344.90","314,101.20","325,588.60",0.93,0.21,0.1,-0.08,0.01,61.7,57.9,,"1,379.37",23810,62.1,3.5,-1.1,0.2,78,99.4,80.4,68.471,75.458,50.855,60.9,82,112.8,74.785,3.1,88.0258067,83.66,81.01,85.95,64.08,62.18,134.82,60.44
2006/01,118,120,105,91,168,110.3,78.9,199.3,-0.37,66.62999725,"617,446.10",3.74,4.62,5.58,5.5,9.19,,987.03,971,"327,542.10","326,592.10","320,960.60","332,506.00",0.96,0.04,-0.05,-0.02,0.04,61.9,58.2,60,"1,399.83",23905,62.3,3.4,-0.6,0.3,68.1,99.7,82.6,64.848,70.344,53.558,56.1,85,115.8,75.231,3,88.91190615,83.95,81.01,85.14,60.77,59.24,133.84,55.38
2006/02,112,122,96,80,162,105.6,74.5,199.4,-0.74,71.87999725,"623,634.30",3.92,4.57,5.28,5.33,8.79,,970.22,969,"326,548.30","323,672.20","323,387.00","326,096.30",0.71,0.18,-0.05,-0.3,-0.06,62.1,58.5,60.5,"1,371.59",23932,62.3,3.5,0,0.3,65.1,99.7,81.8,62.724,68.893,53.358,49.6,85,117.1,75.381,3,89.01802123,83.99,80.84,84.18,60.36,60.37,131.81,53.66
2006/03,118,123,94,88,165,109.1,76,199.7,-0.41,71.29000092,"628,647.70",3.97,4.57,5.42,5.3,8.48,,975.09,975.9,"325,711.90","322,435.30","322,801.80","327,706.70",0.85,0.05,0,0.14,-0.12,62.5,59,61.2,"1,359.60",23974,62.3,3.5,1,-0.2,72.4,99.8,81.1,69.845,76.771,54.359,55.1,85,117.4,75.827,3,89.73327039,83.88,80.76,84.52,66.31,66.84,130.4,61.26
2006/04,119,125,86,83,165,109.2,73.4,200.7,0.09,73.98000336,"638,214.30",3.97,4.61,5.45,5.24,8.31,,954.44,945.7,"324,222.60","326,731.40","323,429.10","326,656.00",0.84,0,0.04,0.03,-0.04,63.1,59.6,61.7,"1,419.73",23951,62.2,3.5,0.8,-0.4,71.1,99.8,79.6,66.847,73.661,53.808,54.6,82,116.1,75.902,2.8,89.77595978,84.03,81.16,85.77,62.67,63.15,129.95,57.4
2006/05,102,112,81,80,147,96.1,68.2,201.3,0.1,74.40000153,"645,478.60",3.96,4.59,5.2,5.05,8.03,,941.4,947.4,"323,908.40","328,653.70","325,918.00","333,194.70",0.61,-0.01,-0.02,-0.25,-0.01,63.6,60.3,62,"1,317.70",23968,62.2,3.4,0.4,-0.3,72.3,100,79.5,68.409,75.181,55.109,56.3,82,110.2,76.05,2.8,89.88217989,84.32,81.9,87.35,65.13,67.81,127,59.75
2006/06,113,120,88,79,159,105,72,201.8,0.15,70.26000214,"652,960.90",4.17,4.7,5.25,5.17,8.07,,955.16,960.3,"326,949.20","338,989.20","327,561.80","342,682.20",0.55,0.21,0.11,0.05,0.07,64,60.6,62.5,"1,295.15",23996,62.1,3.5,0,0.2,71.8,99.8,78.6,67.409,74.283,55.059,54.9,82,104.8,75.902,2.8,89.91810726,84.17,81.97,88.15,62.32,67.02,124.15,58.46
